t_s,urgency,az_deg
0.1,0.000,0
0.2,0.000,0
0.3,0.000,0
0.4,0.000,0
0.5,0.000,0
0.6,0.000,0
0.7,0.000,0
0.8,0.000,0
0.9,0.000,0
1.0,0.000,0
1.1,0.000,0
1.2,0.000,0
1.3,0.000,0
1.4,0.000,0
1.5,0.000,0
1.6,0.000,0
1.7,0.000,0
1.8,0.000,0
1.9,0.000,0
2.0,0.000,0
2.1,0.000,0
2.2,0.000,0
2.3,0.000,0
2.4,0.000,0
2.5,0.000,0
2.6,0.000,0
2.7,0.000,0
2.8,0.000,0
2.9,0.000,0
3.0,0.000,0
3.1,0.666,-178
3.2,0.733,-178
3.3,0.799,-178
3.4,0.866,-178
3.5,0.932,-177
3.6,0.999,-177
3.7,1.000,-177
3.8,1.000,-177
3.9,1.000,-177
4.0,1.000,-177
4.1,1.000,-177
4.2,1.000,-176
4.3,1.000,-176
4.4,1.000,-176
4.5,1.000,-176
4.6,1.000,-176
4.7,1.000,-175
4.8,1.000,-175
4.9,1.000,-174
5.0,1.000,-174
5.1,1.000,-173
5.2,1.000,-173
5.3,1.000,-172
5.4,1.000,-171
5.5,1.000,-169
5.6,1.000,-167
5.7,1.000,-164
5.8,1.000,-159
5.9,1.000,-150
6.0,1.000,-131
6.1,1.000,-92
6.2,0.882,-52
6.3,0.000,0
6.4,0.000,0
6.5,0.000,0
6.6,0.000,0
6.7,0.000,0
6.8,0.000,0
6.9,0.000,0
7.0,0.000,0
7.1,0.000,0
7.2,0.000,0
7.3,0.000,0
7.4,0.000,0
7.5,0.000,0
7.6,0.000,0
7.7,0.000,0
7.8,0.000,0
7.9,0.000,0
8.0,0.000,0
8.1,0.000,0
8.2,0.000,0
8.3,0.000,0
8.4,0.000,0
8.5,0.000,0
8.6,0.000,0
8.7,0.000,0
8.8,0.000,0
8.9,0.000,0
9.0,0.000,0
9.1,0.000,0
9.2,0.000,0
9.3,0.000,0
9.4,0.000,0
9.5,0.000,0
9.6,0.000,0
9.7,0.000,0
9.8,0.000,0
9.9,0.000,0
10.0,0.000,0
