5,7,0,1,0
6,7,0,1,0
7,7,0,1,0
8,7,0,1,0
9,7,0,1,0
10,7,0,1,0
11,7,0,1,0
12,7,0,1,0
13,7,0,1,0
14,7,0,1,0
15,7,0,1,0
16,7,0,1,0
17,7,0,1,0
18,7,0,1,0
19,7,0,1,0
20,7,0,1,0
21,7,0,1,0
22,7,0,1,0
23,7,0,1,0
24,7,0,1,0
25,7,0,1,0
26,7,0,1,0
27,7,0,1,0
28,7,0,1,0
29,7,0,1,0
30,7,0,1,0
31,7,0,1,0
32,7,0,1,0
33,7,0,1,0
34,7,0,1,0
35,7,0,1,0
36,7,0,1,0
37,7,0,1,0
38,7,0,1,0
39,7,0,1,0
40,7,0,1,0
41,7,0,1,0
42,7,0,1,0
43,7,0,1,0
44,7,0,1,0
45,7,0,1,0
46,7,0,1,0
47,7,0,1,0
48,7,0,1,0
49,7,0,1,0
50,7,0,1,0
51,7,0,1,0
52,7,0,1,0
53,7,0,1,0
54,7,0,1,0
55,7,0,1,0
56,7,0,1,0
57,7,0,1,0
58,7,0,1,0
59,7,0,1,0
60,7,0,1,0
61,7,0,1,0
62,7,0,1,0
63,7,0,1,0
64,7,0,1,0
65,7,0,1,0
66,7,0,1,0
67,7,0,1,0
68,7,0,1,0
69,7,0,1,0
70,7,0,1,0
71,7,0,1,0
72,7,0,1,0
73,7,0,1,0
74,7,0,1,0
75,7,0,1,0
76,7,0,1,0
77,7,0,1,0
78,7,0,1,0
79,7,0,1,0
80,7,0,1,0
81,7,0,1,0
82,7,0,1,0
83,7,0,1,0
84,7,0,1,0
85,7,0,1,0
86,7,0,1,0
87,7,0,1,0
88,7,0,1,0
89,7,0,1,0
90,7,0,1,0
91,7,0,1,0
92,7,0,1,0
93,7,0,1,0
94,7,0,1,0
95,7,0,1,0
96,7,0,1,0
97,7,0,1,0
98,7,0,1,0
99,7,0,1,0
100,7,0,1,0
101,7,0,1,0
102,7,0,1,0
103,7,0,1,0
104,7,0,1,0
105,7,0,1,0
106,7,0,1,0
107,7,0,1,0
108,7,0,1,0
109,7,0,1,0
110,7,0,1,0
111,7,0,1,0
112,7,0,1,0
113,7,0,1,0
114,7,0,1,0
115,7,0,1,0
116,7,0,1,0
117,7,0,1,0
118,7,0,1,0
119,7,0,1,0
120,7,0,1,0
121,7,0,1,0
122,7,0,1,0
123,7,0,1,0
124,7,0,1,0
125,7,0,1,0
126,7,0,1,0
127,7,0,1,0
128,7,0,1,0
129,7,0,1,0
130,7,0,1,0
131,7,0,1,0
132,7,0,1,0
133,7,0,1,0
134,7,0,1,0
135,7,0,1,0
136,7,0,1,0
137,7,0,1,0
138,7,0,1,0
139,7,0,1,0
140,7,0,1,0
141,7,0,1,0
142,7,0,1,0
143,7,0,1,0
144,7,0,1,0
145,7,0,1,0
146,7,0,1,0
147,7,0,1,0
148,7,0,1,0
149,7,0,1,0
150,7,0,1,0
151,7,0,1,0
152,7,0,1,0
153,7,0,1,0
154,7,0,1,0
155,7,0,1,0
158,11,0,0,-20
159,11,0,0,-20
160,11,0,0,-20
161,11,0,0,-20
162,11,0,0,-20
163,11,0,0,-20
164,11,0,0,-20
165,11,0,0,-20
166,11,0,0,-20
167,11,0,0,-20
168,11,0,0,-20
169,11,0,0,-20
170,11,0,0,-20
171,11,0,0,-20
172,11,0,0,-20
173,11,0,0,-20
174,11,0,0,-20
175,11,0,0,-20
176,11,0,0,-20
177,11,0,0,-20
178,11,0,0,-20
