t_s,obj,class,az_deg,dist_m,vis
0.2,0,car,3.1,45.80,1
0.3,0,car,3.1,44.85,1
0.4,0,car,3.2,43.90,1
0.5,0,car,3.3,42.95,1
0.6,0,car,3.3,42.00,1
0.7,0,car,3.4,41.05,1
0.8,0,car,3.5,40.09,1
0.9,0,car,3.6,39.14,1
1.0,0,car,3.7,38.19,1
1.1,0,car,3.8,37.24,1
1.2,0,car,3.9,36.29,1
1.3,0,car,4.0,35.34,1
1.4,0,car,4.1,34.39,1
1.5,0,car,4.2,33.44,1
1.6,0,car,4.3,32.49,1
1.7,0,car,4.4,31.54,1
1.8,0,car,4.6,30.59,1
1.9,0,car,4.7,29.64,1
2.0,0,car,4.9,28.69,1
2.1,0,car,5.0,27.74,1
2.2,0,car,5.2,26.79,1
2.3,0,car,5.4,25.85,1
2.4,0,car,5.6,24.90,1
2.5,0,car,5.8,23.95,1
2.6,0,car,6.1,23.00,1
2.7,0,car,6.4,22.06,1
2.8,0,car,6.6,21.11,1
2.9,0,car,6.9,20.16,1
3.0,0,car,7.3,19.22,1
3.1,0,car,7.7,18.27,1
3.2,0,car,8.1,17.33,1
3.3,0,car,8.6,16.39,1
3.4,0,car,9.1,15.45,1
3.5,0,car,9.7,14.51,1
3.6,0,car,10.4,13.57,1
3.7,0,car,11.1,12.64,1
3.8,0,car,12.0,11.70,1
3.9,0,car,13.1,10.77,1
4.0,0,car,14.3,9.85,1
4.1,0,car,15.9,8.93,1
4.2,0,car,17.7,8.02,1
4.3,0,car,20.1,7.12,1
4.4,0,car,23.1,6.24,1
4.5,0,car,27.0,5.38,1
4.6,0,car,32.5,4.56,1
4.7,0,car,40.3,3.80,1
4.8,0,car,51.6,3.14,1
4.9,0,car,67.8,2.68,1
5.0,0,car,88.6,2.50,1
5.1,0,car,109.6,2.68,1
5.2,0,car,126.2,3.14,1
5.3,0,car,137.9,3.80,1
5.4,0,car,146.0,4.56,1
5.5,0,car,151.7,5.38,1
5.6,0,car,155.8,6.24,1
5.7,0,car,159.0,7.12,1
5.8,0,car,161.4,8.02,1
5.9,0,car,163.4,8.93,1
6.0,0,car,164.9,9.85,1
6.1,0,car,166.3,10.77,1
6.2,0,car,167.4,11.70,1
6.3,0,car,168.3,12.64,1
6.4,0,car,169.1,13.57,1
6.5,0,car,169.8,14.51,1
6.6,0,car,170.5,15.45,1
6.7,0,car,171.0,16.39,1
6.8,0,car,171.5,17.33,1
6.9,0,car,171.9,18.27,1
7.0,0,car,172.3,19.22,1
7.1,0,car,172.7,20.16,1
7.2,0,car,173.0,21.11,1
7.3,0,car,173.3,22.06,1
7.4,0,car,173.6,23.00,1
7.5,0,car,173.9,23.95,1
7.6,0,car,174.1,24.90,1
7.7,0,car,174.3,25.85,1
7.8,0,car,174.5,26.79,1
7.9,0,car,174.7,27.74,1
8.0,0,car,174.9,28.69,1
8.1,0,car,175.0,29.64,1
8.2,0,car,175.2,30.59,1
8.3,0,car,175.3,31.54,1
8.4,0,car,175.5,32.49,1
8.5,0,car,175.6,33.44,1
8.6,0,car,175.7,34.39,1
8.7,0,car,175.8,35.34,1
8.8,0,car,176.0,36.29,1
8.9,0,car,176.1,37.24,1
9.0,0,car,176.2,38.19,1
9.1,0,car,176.2,39.14,1
9.2,0,car,176.3,40.09,1
9.3,0,car,176.4,41.05,1
9.4,0,car,176.5,42.00,1
9.5,0,car,176.6,42.95,1
9.6,0,car,176.7,43.90,1
9.7,0,car,176.7,44.85,1
9.8,0,car,176.8,45.80,1
9.9,0,car,176.9,46.75,1
0.1,1,bike_bell,-177.6,23.50,0
0.2,1,bike_bell,-177.6,23.20,0
0.3,1,bike_bell,-177.5,22.91,0
0.4,1,bike_bell,-177.5,22.61,0
0.5,1,bike_bell,-177.5,22.31,0
0.6,1,bike_bell,-177.4,22.02,0
0.7,1,bike_bell,-177.4,21.72,0
0.8,1,bike_bell,-177.4,21.42,0
0.9,1,bike_bell,-177.3,21.13,0
1.0,1,bike_bell,-177.3,20.83,0
